post_url,profile_url,username,likes_count,comments_count,post_time,caption,content_type,video_views,post_id,query_url,thumbnail
https://www.instagram.com/p/Cw4oO10LdCa,https://www.instagram.com/madingevent.id,madingevent.id,195,0,2023-09-07 16:01:25,"Registrasi untuk XCelerate Batch 1 telah dibuka! Bagi kamu yang ingin mendalami tentang berbagai prospek kerja di industri terkait ilmu komputer, wajib ikut acara ini! Melalui seminar dan workshop dengan pembicara yang kompeten dan berpengalaman, kamu bisa mengeksplor dan mendapat jawaban atas pertanyaan yang kamu miliki terkait industri teknologi selama ini.

Periode pendaftaran untuk XCelerate Batch 1 dapat kamu simak di bawah ini:

Seminar: 22 August - 9 September 2023

Workshop: 22 August - 3 September 2023

Don't waste any time, register yourself now!

@COMPFEST

compfest.id

#EmbracingTheDigitalLifestyle

#EvolveForTomorrow

#COMPFEST15",Carousel,0,3186473678081478810,https://www.instagram.com/compfest,https://www.instagram.com/p/Cw4oO10LdCa/media?size=l
https://www.instagram.com/p/Cw1YSx_vNnH,https://www.instagram.com/temanmedia.tangerang,temanmedia.tangerang,2,0,2023-09-06 9:44:25,"📢 Registrasi untuk XCelerate Batch 1 telah dibuka!
.
.
Bagi kamu yang ingin mendalami tentang berbagai prospek kerja di industri terkait ilmu komputer, wajib ikut acara ini!
.
.
Melalui seminar dan workshop dengan pembicara yang kompeten dan berpengalaman, kamu bisa mengeksplor dan mendapat jawaban atas pertanyaan yang kamu miliki terkait industri teknologi selama ini ✨
.
.
Periode pendaftaran untuk XCelerate Batch 1 dapat kamu simak di bawah ini :
♦️ Seminar: 22 August - 9 September 2023
♦️ Workshop: 22 August - 3 September 2023
.
Don't waste any time, register yourself now!
.
@COMFEST
compfest.id
#EmbracingTheDigitalLifestyle
#EvolveForTomorrow
#COMPFEST15",Carousel,0,3185559155184032199,https://www.instagram.com/compfest,https://www.instagram.com/p/Cw1YSx_vNnH/media?size=l
https://www.instagram.com/p/Cw0Al49x3Zm,https://www.instagram.com/temanmedia,temanmedia,13,0,2023-09-05 20:58:04,"📢 Registrasi untuk XCelerate Batch 1 telah dibuka! Bagi kamu yang ingin mendalami tentang berbagai prospek kerja di industri terkait ilmu komputer, wajib ikut acara ini! Melalui seminar dan workshop dengan pembicara yang kompeten dan berpengalaman, kamu bisa mengeksplor dan mendapat jawaban atas pertanyaan yang kamu miliki terkait industri teknologi selama ini.

Periode pendaftaran untuk XCelerate Batch 1 dapat kamu simak di bawah ini:
Seminar: 22 August - 9 September 2023
Workshop: 22 August - 3 September 2023

Don't waste any time, register yourself now!

@COMPFEST
compfest.id
#EmbracingTheDigitalLifestyle
#EvolveForTomorrow
#COMPFEST15 #temanmedia",Carousel,0,3185173440244446822,https://www.instagram.com/compfest,https://www.instagram.com/p/Cw0Al49x3Zm/media?size=l
https://www.instagram.com/p/Cwz-NW9SDc9,https://www.instagram.com/mediastartup.id,mediastartup.id,10,0,2023-09-05 20:37:15,"Registrasi untuk XCelerate Batch 1 telah dibuka! Bagi kamu yang ingin mendalami tentang berbagai prospek kerja di industri terkait ilmu komputer, wajib ikut acara ini! Melalui seminar dan workshop dengan pembicara yang kompeten dan berpengalaman, kamu bisa mengeksplor dan mendapat jawaban atas pertanyaan yang kamu miliki terkait industri teknologi selama ini.

Periode pendaftaran untuk XCelerate Batch 1 dapat kamu simak di bawah ini:
Seminar: 22 August - 9 September 2023
Workshop: 22 August - 3 September 2023

Don't waste any time, register yourself now!

@COMPFEST
compfest.id
#EmbracingTheDigitalLifestyle
#EvolveForTomorrow
#COMPFEST15 #spaceads
#entrepreneurship #quoteentrepreneur
#bobsadino #bonsadinoquote #bobsadinoquotes #inspirasi @mediastartup.id #entrepreneurship #motivasihidup #motivationalquotes #motivasi #motivasipengusaha #motivasipengusahamuda #entrepreneurlife #entrepreneurstory #jackmaquotes #mediastartup #mediaentrepreneur
.
.
Jurnal Startup & Entrepreneur Anak Bangsa.
￣
● Bisnis, Teknologi, Inovasi
● Kirim cerita perjalanan startupmu disini.
Kami ini jadi alasan, kenapa kamu masih tetap semangat 🔥
Email : partner@mediastartup.id",Carousel,0,3185162958368421693,https://www.instagram.com/compfest,https://www.instagram.com/p/Cwz-NW9SDc9/media?size=l
https://www.instagram.com/p/Cwxt1Zjpib_,https://www.instagram.com/alphardzero.dev,alphardzero.dev,39,0,2023-09-04 23:36:29,"THE LAST OXYGEN | OFFICIAL TRAILER

The Last Oxygen merupakan sebuah game 2D side-scrolling platformer ber-genre survival action adventure dengan style grafis cartoon & pixelart. Dalam game ini, pemain akan tenggelam dalam sebuah pengalaman yang membawa mereka kedalam sebuah dunia post-apocalypse. Dimana seluruh dunia telah hancur oleh ledakan nuklir, sehingga hanya tersisa satu buah bunker dengan satu buah pohon didalamnya. Terdapat pula satu orang penyintas (survivor) bernama Athlon yang selamat dari insiden kiamat nuklir tersebut. 

Sebagai Athlon (karakter utama), pemain harus bertahan hidup dengan persediaan oksigen yang sangat tipis, hanya dari satu pohon yang tersisa di dalam bunker pasca ledakan nuklir tersebut. Pemain juga diharuskan ber-eksplorasi mencari air yang bisa digunakan untuk meng-upgrade kapasitas oksigen dan kapasitas nyawa Athlon. Namun perjalanan eksplorasi diluar bunker akan menghabiskan oksigen Athlon, sehingga pemain tidak boleh berlama-lama diluar bunker. Terdapat juga dua macam enemies yang dapat dijumpai pada saat bereksplorasi di pegunungan maupun di dalam gua yang gelap.

Play Now !
alphardzero.itch.io/oxygen

COMPFEST 15 - Indie Game Ignite AlphardZero DEV 
• Alphard Qodaruddin

#compfest15 #evolvefortomorrow",Video,204,3184527993194555135,https://www.instagram.com/compfest,https://www.instagram.com/p/Cwxt1Zjpib_/media?size=l
https://www.instagram.com/p/CwkM3zPJa-V,https://www.instagram.com/lifeatjulo,lifeatjulo,24,0,2023-08-30 17:37:31,"JULO is thrilled to announce a special collaboration with @bemfasilkomui for this year's @compfest! 🚀

Get ready to dive into the world of UI/UX with none other than @bentosai, the Head of Product Design at JULO. 🎨

Don't miss out on this enlightening session, where Beny Susanto will be sharing invaluable insights and knowledge about UI/UX. 📱

Stay connected for more updates on the upcoming event! ✨

#Events #Compfest #UIUX",Carousel,0,3180723847974727573,https://www.instagram.com/compfest,https://www.instagram.com/p/CwkM3zPJa-V/media?size=l
https://www.instagram.com/p/Cvyc5bmN7Nq,https://www.instagram.com/werdimedia,werdimedia,3,0,2023-08-11 9:55:41,"New released Evolve for Tomorrow
By COMPFEST

https://bfan.link/evolve-for-tomorrow

#newrelease #werdimedia #werdimediamusic #spotify #itunes #deezer #youtubemusic #amazonmusic #joox #tiktok #applemusic #resso #youtube #instagram #facebook #yandex #sazham

www.werdimedia.com",Video,18,3166720579939578730,https://www.instagram.com/compfest,https://www.instagram.com/p/Cvyc5bmN7Nq/media?size=l
https://www.instagram.com/p/CvuWx0AhuWS,https://www.instagram.com/appledeveloperacademy.binus,appledeveloperacademy.binus,170,0,2023-08-09 19:45:06,"Batch 2 applications is still open! 🔔 Join our info sessions to find out more about the program!

This week, we'll be holding an exclusive session in collaboration with FIB and FASILKOM at Universitas Indonesia. Together, we will be hosting an online session discussing how you can become a world-class developer through the Apple Developer Academy program. We're extending an invitation especially to those without a tech background. So, if your expertise lies in fields like design, architecture, politics, social sciences, cultural studies, or any other disciplines, please join our session to learn more about the Apple Developer Academy.

And on Saturday, we're excited to invite you to a tour of the first-ever Apple Developer Academy facility in Indonesia @appledeveloperacademy.binus. In partnership with SekolahBeta from 1000 Start Up Digital, we are calling on hackers, hipsters, and hustlers for an exclusive in-person session on-site. We'd love for you to join and be a part of this event! (A separate post will follow detailing this event.)

We're thrilled at the prospect of you joining our informational session. Please refer to the event poster for more details.

#AppleDeveloperAcademyIndonesia
#AppleDeveloperAcademyJakarta
#AppleDeveloperAcademyBinus
#AppleDeveloperAcademy
#RoadToCohort2024
#adacohort7",Carousel,0,3165567768209057170,https://www.instagram.com/compfest,https://www.instagram.com/p/CvuWx0AhuWS/media?size=l
https://www.instagram.com/p/CvpeKf_xtZI,https://www.instagram.com/pojan.nnn,pojan.nnn,8,0,2023-08-07 22:13:26,"Greetings, TechOvers!

 

COMPFEST is the largest annual IT event held and organized by students of Universitas Indonesia, where everyone can explore and enhance their skills by utilizing technologies.

 

COMPFEST provides ACADEMY for those of you who want to improve your skills in the IT field and COMPETITION for those who want to test your abilities.

 

ACADEMY provides several camps that you can join, which include:

- Data Science Academy

- Software Engineering Academy

- Startup Academy

- User Experience Academy

- Product Management Academy (NEW!!)

 

COMPETITION provides numerous battlefields that you can take part in, including:

- Business-IT Case

- MiniCase by BizzIT

- Senior & Junior Competitive Programming Contest

- Capture The Flag

- Indie Game Ignite

- Game Jam

- AI Innovation Challenge

- Data Analytics Dash (New!!)

 

Win a total prize of over 142 MILLION!

 

Academy Registration Period: 16 June - 14 July 2023

Competition Registration Period: 23 June - 30 July 2023

 

Wait no more! Register now at compfest.id

 

For further information, check out COMPFEST on:

IG : @compfest

Line : @compfest

Twitter : @compfest

LinkedIn : COMPFEST

Website : compfest.id

 

#Academy #Competition

#EvolveForTomorrow

#CF15 #COMPFEST15

@ahm_dfauzan 
@pratiwiasril 
@frhn_frnk",Carousel,0,3164192876150576712,https://www.instagram.com/compfest,https://www.instagram.com/p/CvpeKf_xtZI/media?size=l
https://www.instagram.com/p/Cvpc-RiBQQ-,https://www.instagram.com/sissygmrh,sissygmrh,3,0,2023-08-07 22:03:02,"Greetings, TechOvers!

COMPFEST is the largest annual IT event held and organized by students of Universitas Indonesia, where everyone can explore and enhance their skills by utilizing technologies.

COMPFEST provides ACADEMY for those of you who want to improve your skills in the IT field and COMPETITION for those who want to test your abilities.

ACADEMY provides several camps that you can join, which include:

- Data Science Academy

- Software Engineering Academy

- Startup Academy

- User Experience Academy

- Product Management Academy (NEW!!)

COMPETITION provides numerous battlefields that you can take part in, including:

- Business-IT Case

- MiniCase by BizzIT

- Senior & Junior Competitive Programming Contest

- Capture The Flag

- Indie Game Ignite

- Game Jam

- AI Innovation Challenge

- Data Analytics Dash (New!!)

Win a total prize of over 142 MILLION!

Academy Registration Period: 16 June - 14 July 2023

Competition Registration Period: 23 June - 30 July 2023

Wait no more! Register now at compfest.id

For further information, check out COMPFEST on:

IG : @compfest

Line : @compfest

Twitter : @compfest

LinkedIn : COMPFEST

Website : compfest.id

#Academy #Competition

#EvolveForTomorrow

#CF15 #COMPFEST15",Carousel,0,3164187637938717758,https://www.instagram.com/compfest,https://www.instagram.com/p/Cvpc-RiBQQ-/media?size=l
